slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_130000_120000,Arcy-sur-Cure - Grotte de l_Hyène,3.763,47.591,France,116500,130000,13500
slice_130000_120000,Baume Bonne,6.056,43.7,France,116000,126000,10000
slice_130000_120000,Baume Flandin,4.398,44.3,France,116000,126000,10000
slice_130000_120000,Bisnik Cave,19.665,50.426,Poland,115000,126000,11000
slice_130000_120000,Bocksteinschmiede-Bocksteinloch,10.155,48.554,Germany,115000,130000,15000
slice_130000_120000,Bojnice III Cave Moat,18.578,48.78,Slovakia,115000,126000,11000
slice_130000_120000,Bolomor Cave,-0.25,39.059,Spain,103000,130000,27000
slice_130000_120000,Burgtonna,10.732,51.074,Germany,116000,130000,14000
slice_130000_120000,Caours,1.883,50.131,France,116000,130000,14000
slice_130000_120000,Ciemna Cave,19.832,50.197,Poland,109000,123000,14000
slice_130000_120000,Crvena Stijena,18.481,42.779,Montenegro,120000,135000,15000
slice_130000_120000,Dziadowa Skala Cave,19.533,50.546,Poland,115000,130000,15000
slice_130000_120000,Ecalgrain,-1.936,49.692,France,126000,154000,28000
slice_130000_120000,El Hondal,-4.019,43.389,Spain,118000,125000,7000
slice_130000_120000,Ex-Casino,7.533,43.784,Italy,116000,126000,10000
slice_130000_120000,Ganovce,20.327,49.03,Slovakia,115000,127000,12000
slice_130000_120000,Grabschütz,12.282,51.481,Germany,115000,126000,11000
slice_130000_120000,Grotta Grande of Scario,15.35,40.022,Italy,110000,130000,20000
slice_130000_120000,Grotte Vaufrey,1.159,44.813,France,116000,130000,14000
slice_130000_120000,Grotte de Saint-Marcel,4.544,44.324,France,116000,126000,10000
slice_130000_120000,Gröbern,12.449,51.703,Germany,116000,130000,14000
slice_130000_120000,Inden-Altdorf,6.363,50.871,Germany,118240,126000,7760
slice_130000_120000,Krapina,15.863,46.166,Croatia,120000,140000,20000
slice_130000_120000,La Hougue,-1.275,49.572,France,116000,126000,10000
slice_130000_120000,Lehringen,9.38,52.87,Germany,115000,130000,15000
slice_130000_120000,Lezetxiki,-2.529,43.079,Spain,116000,126000,10000
slice_130000_120000,Long-Buisson I,1.182,49.006,France,116000,126000,10000
slice_130000_120000,Mario Bernardini,17.95,40.16,Italy,109000,130000,21000
slice_130000_120000,Moravsky Krumlov IV,16.411,49.045,Czech Republic,106500,124100,17600
slice_130000_120000,Moula Guercy,4.848,44.883,France,115105,130115,15010
slice_130000_120000,Neumark-Nord 1,11.899,51.324,Germany,116000,130000,14000
slice_130000_120000,Nietoperzowa Cave,19.775,50.194,Poland,109000,123000,14000
