slice,Locality,X,Y,Country,age_min,age_max,age_diff
slice_50000_40000,Arcy-sur-Cure - Grotte du Renne,3.762,47.591,France,45000,75000,30000
slice_50000_40000,Arma delle Manie,8.376,44.199,Italy,42000,69000,27000
slice_50000_40000,Bioce,19.35,42.506,Montenegro,40000,60000,20000
slice_50000_40000,Bisnik Cave,19.665,50.426,Poland,40000,70000,30000
slice_50000_40000,Bordu Mare Cave,23.117,45.517,Romania,36300,63000,26700
slice_50000_40000,Cotencher,6.899,46.96,Switzerland,41000,62000,21000
slice_50000_40000,Cueva Des-Cubierta,-3.808,40.923,Spain,47600,71000,23400
slice_50000_40000,Cueva Morín,-3.858,43.359,Spain,41270,71000,29730
slice_50000_40000,Fumane,10.905,45.592,Italy,48000,62000,14000
slice_50000_40000,Gatzarria,-0.92,43.135,France,47400,70000,22600
slice_50000_40000,Geißenklösterle,9.771,48.398,Germany,49000,73000,24000
slice_50000_40000,Grotta di Santo Agostino,13.494,41.234,Italy,43000,60000,17000
slice_50000_40000,Grotte Rainaude 1,6.595,43.53,France,45000,71000,26000
slice_50000_40000,Grotte de l_Ermitage,0.734,46.404,France,40000,70000,30000
slice_50000_40000,Gruta do Caldeirão,-8.416,39.647,Portugal,40000,60000,20000
slice_50000_40000,Hallera Av. site,16.995,51.09,Poland,49900,60900,11000
slice_50000_40000,Haut de Combe-Capelle,0.85,44.753,France,40000,70000,30000
slice_50000_40000,Ioton,4.603,43.835,France,40000,60000,20000
slice_50000_40000,Kulna Cave,16.738,49.408,Czech Republic,49300,77500,28200
slice_50000_40000,La Grotte Marcel Clouet,-0.346,45.708,France,40000,70000,30000
slice_50000_40000,Le Baste,-1.46,43.479,France,40000,70000,30000
slice_50000_40000,Le Moustier_Abri inférieur,1.06,44.994,France,40700,60800,20100
slice_50000_40000,Les Pradelles,0.432,45.74,France,40130,62400,22270
slice_50000_40000,Mander,6.826,52.445,Netherlands,40000,70000,30000
slice_50000_40000,Mochi,7.534,43.784,Italy,41800,60000,18200
slice_50000_40000,Quincay,0.236,46.607,France,40000,70000,30000
slice_50000_40000,Riparo Tagliente,11.001,45.541,Italy,42000,70000,28000
slice_50000_40000,Romanesti-Dumbravita,22.314,45.812,Romania,45000,60000,15000
slice_50000_40000,Sesselfelsgrotte,11.79,48.935,Germany,45710,72800,27090
slice_50000_40000,Stajnia Cave,19.484,50.616,Poland,49000,71000,22000
slice_50000_40000,Walou,5.696,50.591,Belgium,42000,71000,29000
slice_50000_40000,Amud Cave,35.502,32.872,Israel,46000,61300,15300
slice_50000_40000,Arcy-sur-Cure - Grotte du Bison,3.762,47.59,France,40000,52000,12000
slice_50000_40000,Arrillor,-2.739,42.971,Spain,44500,46900,2400
slice_50000_40000,Axlor,-2.729,43.121,Spain,40730,43290,2560
slice_50000_40000,Bronze Cave,42.862,42.279,Georgia,40200,48900,8700
slice_50000_40000,Carihuela,-3.43,37.449,Spain,42400,58800,16400
slice_50000_40000,Chagyrskaya,83.126,51.422,Russia,49000,52000,3000
slice_50000_40000,Ciemna Cave,19.832,50.197,Poland,29000,57000,28000
slice_50000_40000,Cova del Gegant,1.774,41.224,Spain,47500,51100,3600
slice_50000_40000,El Castillo,-3.966,43.292,Spain,32100,41100,9000
slice_50000_40000,Fossellone,13.08,41.223,Italy,40762,51000,10238
slice_50000_40000,Ksar Akil,35.641,33.914,Lebanon,36520,47000,10480
slice_50000_40000,La Ferrassie_Grand Abri,0.938,44.952,France,37400,48100,10700
slice_50000_40000,Lakonis I,22.58,36.783,Greece,42000,44500,2500
slice_50000_40000,Manot Cave,35.198,33.04,Israel,33000,49400,16400
slice_50000_40000,Mezmaiskaya Cave,40,44.166,Russia,32000,41000,9000
slice_50000_40000,Ortvale Klde,43.262,42.31,Georgia,46190,54016,7826
slice_50000_40000,Sakajia Cave,42.757,42.28,Georgia,39000,47900,8900
slice_50000_40000,Shanidar,44.22,36.833,Iraq,44500,54000,9500
slice_50000_40000,Spy,4.674,50.48,Belgium,37000,43500,6500
slice_50000_40000,Trou Al Wesse,5.294,50.43,Belgium,37600,43400,5800
slice_50000_40000,Vindija,16.08,46.302,Croatia,27800,49100,21300
slice_50000_40000,Zafarraya,-4.127,36.951,Spain,30600,46000,15400
slice_50000_40000,Zaskalnaya VI,34.66,45.16,Ukraine,30000,42000,12000
slice_50000_40000,Aranbaltza II,-2.965,43.399,Spain,40600,55900,15300
slice_50000_40000,Bidart,-1.582,43.435,France,35000,45000,10000
slice_50000_40000,Canaule II,0.559,44.856,France,35000,45000,10000
slice_50000_40000,Châtelperron - Grotte Effondrée,3.639,46.412,France,35000,45000,10000
slice_50000_40000,Cova Foradada (Calafell),1.581,41.205,Spain,36000,45000,9000
slice_50000_40000,Fontenioux,0.846,46.698,France,30000,50000,20000
slice_50000_40000,Grotte des Fees,3.638,46.412,France,35260,40170,4910
slice_50000_40000,Grotte du Loup,1.557,45.13,France,40000,50000,10000
slice_50000_40000,La Rochette,1.104,45.012,France,35000,45000,10000
slice_50000_40000,Laussel_Grand Abri,1.107,44.948,France,35000,45000,10000
slice_50000_40000,Le Piage,1.364,44.797,France,35000,45000,10000
slice_50000_40000,Les Bossats - Ormesson,2.662,48.251,France,35000,45000,10000
slice_50000_40000,Les Cottés,0.841,46.692,France,36020,45600,9580
slice_50000_40000,Roc de Combe,1.346,44.772,France,38570,43000,4430
slice_50000_40000,Arcy-sur-Cure - Grotte de l_Hyène,3.763,47.591,France,29000,57000,28000
slice_50000_40000,Combe-Grenal,1.226,44.806,France,29000,57000,28000
slice_50000_40000,Cueva de El Pendo,-3.912,43.389,Spain,33800,51900,18100
slice_50000_40000,Grotte Tournal,2.878,43.336,France,32400,57900,25500
slice_50000_40000,La Quina - Amont,0.295,45.508,France,40000,45000,5000
slice_50000_40000,Mauran,1.011,43.185,France,35000,45000,10000
